Words,Meaning
親切な人,A kind person
親切な言葉,Kind words
親切な行為 ,A helpful act
彼女の親切な手紙に感動した,I was touched by her kind letter
活動的な生活 ,A dynamic lifestyle
活動的な趣味,An energetic hobby
この本は活動的な内容です,This book has an active content
彼女の活動的なダンスに魅了された,I was fascinated by her energetic dance
一般的な意見,A general opinion
一般的な知識,Common knowledge
あなたの一般的な考え方に賛成します,I agree with your general way of thinking
彼女の一般的なスタイルに感心した,I was impressed by her general style
可哀想な犬,A poor dog
可哀想な目にあう ,To have a pathetic experience
彼女の可哀想な顔に涙が出た,I shed tears at her pitiful face
この映画は可哀想な話です,This movie is a pitiful story
確実な証拠,Certain evidence
確実な勝利,Sure victory
確実な方法,Definite method
彼女の確実な計画に賛成した,I agreed with her definite plan
この本は確実な情報です,This book is reliable information
彼女は上品なドレスを着ている,She is wearing an elegant dress
彼は上品な態度で話した,He spoke with a refined attitude
このレストランは上品な料理を出す,This restaurant serves polished cuisine
経済的な理由で学校をやめた,I quit school for economic reasons
経済的な車を買いたい,I want to buy an economical car
経済的な観点からこの計画は良くない,This plan is not good from an economic point of view
急な用事ができました,I have a sudden errand to do
急な雨に降られた,I was caught in a sudden rain
急なお願いで申し訳ありません,I’m sorry for the sudden request
彼はいつも元気な笑顔を見せてくれる,He always shows me an energetic smile
今日は元気な気分です,I feel cheerful today
元気な子供たちが遊んでいる,Energetic children are playing
具体的な指示を与えてください,Give specific instructions
具体的な計画が進展した,Specific plans have been developed
彼は相当な努力をした,He made a considerable effort
この本は相当な人気がある,This book is very popular
相当な時間がかかります, It will take a significant amount of time
彼女は相当な美人だ,She's quite a beauty
彼は相当な英語力を持っている,He has a high level of English proficiency
その値段は相当なものだ,That price is substantial
あの映画は残念な出来でした,That movie was a disappointment
今日は残念な天気ですね,The weather is disappointing today
残念なことだ,That's unfortunate
最低な気分だよ,I feel awful
最低な行為だと思います,I think that’s a terrible act
最低な映画だった,It was a lousy movie
彼は静かな性格だ,He has a calm personality
静かな場所で本を読みたい,I want a quiet place to read a book.
様々な国からの人々が集まった,People from various countries gathered
様々な問題に対処する必要がある,We need to deal with various problems
様々な経験を積んだ,I gained diverse experiences
様々な意見があると思います,I think there are different opinions
