L5,L4,L3,L2,L1
日本人ですか。,昨日東京に来たと彼は言った。,私の好みにぴったり合う。,軍隊は川のところまで進出した。,彼はタフな野郎だった。
人がいる。,僕は言語を勉強するのが好きだ。,合わせていくらになりますか。,彼は軍事予算を増大させようとした。,家の子郎党。
わたしは人間です。,言葉にできない。,天気の具合が思わしくない。,軍備が整っている。,次の曲を新郎と新婦に捧げたいと思います。
一つえらんで。,手に何をもっていますか。,その家の内部はとても魅力的だった。,その命令に嫌々従う兵もいた。,彼女は銀行員と結婚した。
一にち。,彼が私のコピーを手伝ってくれた。,値段は全部同じなんですか？,兵器にあまりお金を使うべきではない。,やってはみるが結果は約束できない。
わたしは一人じゃない。,私のところに手紙が来ていますか。,誰も部長をごまかせません。,激しい戦いが兵士によってなされた。,このバス路線は２都市を結んでいる。
日なにしましたか。,自分でピアノを弾きながら歌う。,,,
ながい一日がすぎた。,この車を自由にお使い下さい。,,,
今日なにしようかな。,私は合格する自信がある。,,,
このビルはとても大きい。,医者にかかる必要がある。,,,
わたしは大学へいきたい。,数名の食中どく患者が出た。,,,
大切なはなしがあるんです。,あなたの大好きな役者はだれですか。,,,
年はおいくつですか。,仕事に行きたくない。,,,
今年はあめがおおかった。,事故というのは起こるものだ。,,,
かれは毎年かいがいへいく。,それは一番大事なことです。,,,
ベッドから出たくない。,彼なら信用できると思っていた。,,,
ノートを出して下さい。,思考は言葉によって表現される。,,,
出口はどこですか。,我々は言語で意思を伝える。,,,
この本は四ドルした。,昔の友達に会いに行った。,,,
これが本日のおすすめりょうりです。,会計の窓口はどこですか。,,,
本棚に本をならべる。,出来るだけ早急に会談の手配をして欲しい。,,,
日本中をたびする。,ご家族はいかがですか。,,,
へやの中央にたっていた。,僕は仕事より家庭の方が大事だ。,,,
ここにむかっている途中です。,あの部屋には家具が全然なかった。,,,
子供にでもそれはできる。,抽象的な思想を具体的に述べる。,,,
女の子のようなしぐさ。,彼の答えは的確だ。,,,
男の子らしいいたずら。,彼は知的な人です。,,,
テレビ見てるのですか。,彼はどっちの方向へ行きましたか。,,,
それについてのあなたの意見はなにですか。,運転の仕方を知っているの？,,,
ほかのを見せてください。,あの人たちが昨日あなたが会った方々ですか。,,,
ポーランドは大きな国だ。,この地域は雨が続くでしょう。,,,
外国へ行ったことがありますか。,昨日遊園地でばったり先生に会ったよ。,,,
アメリカ国民になった。,君はなかなか地理に明るいな。,,,
テーブルの上にコップがある。,私はプレゼントを買う目的でデパートへ行った。,,,
バッテリーが上がってしまった。,大学に入っていることが私の人生の目標ではない。,,,
テレビのボリュームを上げないでください。,どちらを選ぶのかを決めるのはあなたの役目だ。,,,
わかりましたか。,その工場は来年から製造をはじめる。,,,
おおざっぱに分ける。,駐車場が見つからなかったんだ。,,,
そんな気分じゃなかったんだ。,広場で野球をするのはどうでしょうか。,,,
この食べものは生だ。,私は現代の音楽はあまり好きではない事を認めます。,,,
わたしたちは生きるために食べる。,彼はクラスを代表して会場に出た。,,,
どこで生まれましたか。,私たちは大阪まで交替で運転した。,,,
ピクニックに行かない。,私立の学校はどういう感じですか。,,,
旅行することがすきですか。,この本棚の辞書はすべて私用です。,,,
われわれは飛行機でニューヨークへ行った。,私見によればあの人は立派な学者です。,,,
二時間ここにいます。,相互に独立対等の関係に置かれている。,,,
バニラアイスクリームを二つ下さい。,ハンバーガーを立って食べる。,,,
二人のガールフレンドがいる。,彼女と私とでは立場が違う。,,,
本の間にしおりをはさむ。,動物に食べ物を与えないでください。,,,
お時間わかりますか。,彼女は買い物が好きだ。,,,
昼間のうちにかえっていらっしゃい。,当市では諸物価が高い。,,,
一時ボストンにすんでいた。,油田を発見する。,,,
そのしごとにはどれだけの日時がかかったのか。,田舎は空気がきれいだ。,,,
時計がはたらいている。,田に稲の苗をを植える。,,,
気に入ってます。,体温が平熱まで上がった。,,,
元気ですよ。,体育を奨励する。,,,
かれは病気だったらしい。,体積を求める。,,,
わたしには子どもが十人いる。,絶えず彼の行動に注意していた。,,,
おかねは十分にあります。,私が戻って来るまでここを動くなよ。,,,
学校は四月十日からはじまります。,人口の移動。,,,
女みたいな高いおと。　,建設会社に入社する。,,,
そんな女性を見たことがなかった。,銭湯は近所の社交場だ。,,,
このしゃしんのなかの少女はだれですか。,土曜日には出社する必要がありません。,,,
このしごとは三時間かかった。,広く知識を求める。,,,
かれらはいま三人の子供がいる。,この辺はよく知っている。,,,
これを三つください。,彼にはそうするだけの知恵がなかった。,,,
前はよくピザを食べていました。,食卓に料理を並べる。,,,
以前お会いしたことがありますか。,芸術作品を理解する。,,,
あなたの名前は何ですか。,当分の間代理を置く。,,,
クラブに入りませんか。,彼らは皆同じ制服を着ている。,,,
コーヒーを入れましょう。,彼女は彼に少しだけ同情した。,,,
彼はその学校に入学をきょかされた。,私も同様の境遇です。,,,
小さいことにこだわるな。,期待で心臓がどきどきした。,,,
この小説はあれよりずっと面白い。,あの人になら安心して金を預けられるよ。,,,
ここにもとは小学校があった。,れは心配するほどのことではない。,,,
後について行く。,,,,
すぐ後ろにいるよ。,,,,
午後はどうだった？,,,,
これは長すぎます。,,,,
校長が先生の後ろから入ってきた。,,,,
この会社の社長はだれですか。,,,,
彼は車の下から出てきた。,,,,
その人に会ってみてください。,,,,
下がってよろしい。,,,,
このいっけんには大いに学ぶところがあった。,,,,
学校に行きたいんです。,,,,
彼は大学に行くひつようがある。,,,,
新しい月もでてきました。,,,,
今月いっぱいここにいます。,,,,
私たちは来月日本をはなれます。,,,,
何を見ているのか。,,,,
ほんとうに何も食べるものがないの？,,,,
なんでこんなとこで寝てるの？,,,,
明日きゃくが二人来る。,,,,
この国に将来があるのでしょうか。,,,,
以来ずっと友人です。,,,,
コーヒーを飲みながら話しましょう。,,,,
人と会話をする。,,,,
われわれはその問題について話し合った。,,,,
山にトンネルをとおす。,,,,
火山がふんかした。,,,,
彼は登山になれている。,,,,
そのピアノは高い。,,,,
高校が同じです,,,,
最高のアイディアだよ。,,,,
やるなら今だよ。,,,,
今朝彼女に何がおきたのですか。,,,,
今回問題になってるのは何？,,,,
ペンで書いて下さい。,,,,
彼はいつも読書している。,,,,
図書館にはたくさんの本があります。,,,,
この人は目が見えなくなって五年になる。,,,,
この箱にはりんごが五つ入っている。,,,,
彼は五日にいちどここへ来ます。,,,,
京都にはたくさんの名所がある。,,,,
このちほうの名物は何ですか。,,,,
有名なブランドですね。,,,,
やっと金曜日ですよ。,,,,
私は現金でしはらいます。,,,,
その靴の代金を払いましたか。,,,,
二人の男はバーで飲んでいた。,,,,
彼女は昨日背の高い男の人に会いました。,,,,
男性の名前は何ですか。,,,,
私は今は外へ出たくない。,,,,
海外に旅行する。,,,,
午後なら外出できます。,,,,
私は彼に四ドルをしはらった。,,,,
ベッドが四つある部屋にくらす。,,,,
四人でえらぶゲームです。,,,,
私を先にしてください。,,,,
彼は高校の先輩です。,,,,
先生が入ってきた。,,,,
私と一緒に川に行かない？,,,,
私の家の近くを小川がながれている。,,,,
川岸のけいかんは美しくれきしてきです。,,,,
東はどの方向なの？,,,,
日本の東京からきました。,,,,
家の東側に大きな木がある。,,,,
私の言うことをよく聞きなさい。,,,,
女の子が歌うのが聞こえた。,,,,
今日の新聞はどこ。,,,,
あなたは日本語を話しますか？,,,,
彼は英語を少し話します。,,,,
彼は音楽について語った。,,,,
学校は九時からはじまります。,,,,
九つのココナッツを食べました。,,,,
来てから九日よね？,,,,
私たちはよく一緒に食事するんだ。,,,,
食堂はどこですか。,,,,
それを食べたくありません。,,,,
しごとは八時までにはおわるだろう。,,,,
うちの子は八つです。,,,,
ろじょうには小さな八百屋が出ていた。,,,,
シャワーの水が出ません。,,,,
彼はとりわけ水泳が好きです。,,,,
水道がでています。,,,,
すばらしい天気だった。,,,,
私の弟は天才です。,,,,
天候がかいふくするのを待つ。,,,,
その木はとても高くなった。,,,,
母はこの前の木曜日からずっと病気です。,,,,
並木のある歩道。,,,,
私は六年間英語を勉強している。,,,,
六つのちいきに分かれている。,,,,
六日の間そのようにした。,,,,
この時計は一万円だった。,,,,
この料理にも合う万能ワイン。,,,,
彼のまんがは万人向きだ。,,,,
白いドレスはありますか。,,,,
告白されたことある？,,,,
彼の真っ白な家はそのとおりで最もめだつ家だ。,,,,
私は七時に家を出た。,,,,
パターンは七つの内の一つです。,,,,
彼女は七人も子供がいる。,,,,
このテープレコーダーは４万円しました。,,,,
円高になるとゆしゅつにブレーキがかかる。,,,,
円柱上に作られた。,,,,
私は電話で彼と話しました。,,,,
私は電車で家に帰った。,,,,
電気をつけて下さい。,,,,
父は中国へ行ってしまった。,,,,
父親らしくない。,,,,
祖父はいつもこのいすに座る。,,,,
その町はロンドンのすぐ北にある。,,,,
私は夏に北海道に行きます。,,,,
中野駅の北口を出て面白いことを見つけよう。,,,,
私は車を買うことにした。,,,,
あの町は列車の便が悪い。,,,,
駐車場が見つからなかったんだ。,,,,
私は母が大好きです。,,,,
彼女は私に母親のようにしてくれる。,,,,
私の祖母はオートバイに乗れる。,,,,
メロンが半分食べられた。,,,,
あの半島はいい風景が多い。,,,,
半径5 センチの円を描く。,,,,
チケットは百ユーロだ。,,,,
この川は数百マイルもつづいている。,,,,
せっかくだから百均に行こうか。,,,,
かれは土に水をやった。,,,,
彼は土地をすべて売った。,,,,
この家は土台がしっかりしている。,,,,
彼らは西の方へ向かった。,,,,
彼は６月に東京をはなれて関西に来る。,,,,
駅はホテルの西側です。,,,,
食べながら読んではいけません。,,,,
それを解読できる？,,,,
秒読みはやく1週間以内に始まります。,,,,
飛行していが八千メートル以上であること。,,,,
これはそれに比べて千倍の大きさがある。,,,,
千円札くずれますか。,,,,
私は彼に私たちの学校のことを話した。,,,,
校舎内では走ってはいけません。,,,,
きみは高校生ですか。,,,,
入口を入ってすぐ右に。,,,,
左右を見る。,,,,
最初に右手を出しなさい。,,,,
南駅はどこですか？,,,,
右下に新宿駅南口が見えます。,,,,
彼の家は川の南側にある。,,,,
左を向いてください。,,,,
窓が左手にあります。,,,,
車は急に左折した。,,,,
友人は少ししかいない。,,,,
友達が欲しい。,,,,
バスで旧友にばったり会った。,,,,
夜は雨になるらしい。,,,,
大雨のため私たちは出かけられなかった。,,,,
雨具をお持ちになりましたか。,,,,
ガソリンはひじょうに火がつきやすい。,,,,
部屋で火災が起きた。,,,,
昨日の花火見た？,,,,
毎晩そのことについてぎろんした。,,,,
毎度ごひいきにありがとうございます。,,,,
私は毎朝銀座で地下鉄に乗る。,,,,
ゆっくり休んでね。,,,,
休日を楽しみなさい。,,,,
休暇はどうでしたか。,,,,
私は午後を寝て過ごした。,,,,
彼女は午前７時に起きる。,,,,
母は午前中病院に行きます。,,,,
