Kanji,Notes,Meaning,S1,S2,S3,Type
米,kome,rice,米,米価,玄米,rice
粉,rice・part,flour・powder,粉,花粉,小麦粉,rice
粗,rice・flat-eye,course・rough,粗末,粗い,粗品,rice
粘,rice・fortune-occupy,sticky・glutinous,粘土,粘り,粘る,rice
粒,rice・stand,grains・drop・particle,粒,粒子,大粒,rice
粧,rice・stone-cliff・soil,cosmetics,化粧,化粧水,化粧品,rice
精,rice・blue,refined・vitality・skill,精神,精巧,精製,rice
糖,rice・cross-reverse-trident・mouth,sugar,砂糖,糖分,血糖値,rice
糧,rice・quantity-measure-weight,provisions・food,食糧,糧食,食糧庁,rice
粋,rice・nine・ten,chic・style・elite・pure,粋,純粋,抜粋,rice
酔,west-sake・nine・ten,drunk・feel-sick,麻酔,酔う,酔っ払う,nineten
砕,stone・nine・ten,smash・break・crush・popular,砕ける,砕く,粉砕,nineten
防,banner・direction,ward-off・defend・protect,予防,防ぐ,防衛,banner
阪,banner・anti,heights・slope,阪神,大阪,京阪,banner
阻,banner・flat-eye,obstruct・deter・impede,阻止,阻む,阻害,banner
限,banner・good,limit・restrict・best-of-ability,権限,限る,限定,banner
除,banner・remainder,exclude・remove,掃除,除く,削除,banner
陥,banner・beek-a-day,collapse・fall-into・cave-in,欠陥,陥る,陥落,banner
陣,banner・car,camp・ranks・position,陣地,陣営,布陣,banner
陸,banner・ground・legs・ground,landing,大陸,着陸,上陸,banner
構,tree・put-together,posture・build・mind,結構,構う,構成,put-together
講,say・put-together,lecture・club・association,講義,講堂,講演,put-together
購,shellfish・put-together,buy・subscription,購入,購う,購買,put-together
溝,water・put-together,gutter・ditch・sewer・drain,溝,海溝,排水溝,put-together
副,fill・sword,vice・assistant・aide,副詞,副作用,副産物,fill
富,lid・fill,wealth・enrich・abundant,豊富,富む,富豪,fill
福,candle・fill,blessing・fortune・luck,幸福,福祉,裕福,fill
幅,towel・fill,hanging scroll・width,幅,大幅,振幅,fill
