W1,T1,W2,T2,W3,T3
競って取り組んでいた,engage competitively,考えてくれているように,like you're thinking about it,合わせみたいじゃない,it looks like a match
体系化された,made systematically,お前のことを思っているんだ,thinking about you,妹と待ち合わせているんだ,i’m meeting up with my sister
どう報いればいいのだろうか,how should we reward them?,選ばれることはない,never be chosen,お待たせいたしました,thank you for waiting
納得できません,i’m not convinced,見せてくれ,let me see,また会いましたね,we meet again
優先されるんだ,made priority,それではいってまいります,i’m off then,ご挨拶させていただいただけですから,just wanted to greet you
分かっているだろ？,"you know that, right?",行っておいで,go ahead,謝ることじゃないさ,no need to apologize
申し訳ございません,i’m sorry,見ていてくださいね,watch me,当てにされていたと思えば,if you think they were counting on you
怒ってくれる,get mad at me,潰そうか,shall we crush it?,そうおっしゃるのであれば,if you say so
それに救われているんだ,that's what's saving me,お隣は空いていますか？,Is the next one available?,存じております,i know
叱ってばかり,keep scolding,面白い偶然と言っていいのかな？,can we say interesting coincidence?,落ち着いてもらえませんか？,would you please calm down?
入っちゃってる,there you go,っていう感じにしているかもしれない,might be making it sound like a,かなり分析しています,quite a bit of analysis
みんなもめっちゃ笑ってくれてる,you guys are laughing so hard,日用品を買いに出たんですよ,went out to buy some household items,薄雲が広がって,thin clouds spread out
自分と一緒に撮ってみました,took this picture with myself,買いに行ったって言ってるじゃない,i told you I went to buy it,そういった関連かと思いました,i thought it was related that way
そして忘れてはいけない,and don't forget,もう1回しっかり考えてください,think hard one more time,ここまで力説して外すと恥ずかしい,it’s embarrassing to miss after all this effort
優しくなぞるようにつけましょう,gently trace it on,こっちで確認していただける,you can check over here,まあ次は負けないように頑張ります,"well, i’ll do my best not to lose next time"
これは必ず実践していますね,you always put this into practice,天使が降臨しちゃった,angels have descended,うっかり乗ってしまいまして嬉しい,glad I accidentally got on board
さっき見えてましたよ,saw it just now,まだ卒業しないから,i’m not graduating yet,出てくるから,it's coming out
いきたいと思うんですけども,i'd like to do that but,時刻は14時4分を回りました,the time has turned 14:04,ふうに書いてあったんですけど,was written like that
報告していきたいと思います,would like to report back,無事に過ごしましょう,let’s stay safe,肩を組んで出 てきたんですよね,they came out shoulder to shoulder
もう一回やり直したい,want to start over again,安全に素敵な夜をお過ごしください,have a safe and wonderful evening,投稿してくれいるページ,the page you're posting on
