Phrases,Translation
地元兵庫ぶらり旅,Local Hyogo wanderings
お天気キャスターに密着,Closely follow the weather forecasters
猛スピード逆走も,Driving in reverse at high speed
親子で挑んだ中学入試,Parents and child challenge of the secondary school entrance exams
緊張の合格発表の瞬間,Nervous moment of acceptance announcement
喋んないでいただいて,Thank you for not talking
不眠症に悩む女子高生に,For high school girls suffering from insomnia
手作りおつまみで家飲み中,Drinking at home with homemade snacks
幕末の巨大な武家屋敷,Huge samurai residence at the end of the Edo period
どうしても観たい,Really want to see it
スカートから細く長い美脚を披露,"The skirt shows off her long, thin, beautiful legs"
美脚輝くミニスカ制服姿,Beautiful legs shining in a mini-skirt school uniform
可愛さの限界突破,Pushing the limits of cuteness
実はちょっとお願いがありまして,Actually I have a small favor to ask
香りに包まれたいっていう,Want to be surrounded by fragrance
使ってらっしゃる香水ふきかけてもらうか,I'll ask him to spray the perfume you use
バックハグしてもらうか,Or get a back hug
後者にしよう,Let's do the latter
もうずっとこのままでいたいです,I want to stay this way forever more
このまま連れて帰っていいですか,Can I take her home like this?
このまま一旦ちょっと,I'm going to leave it like this for a moment
家まで帰らせて,Let me get you home
夢のような時間でした,It was like a dream
若女将の特大男めし,Young proprietress's extra large men's meal
ワンオペで人件費を客に超還元,"One-operator, labor costs are super-reduced to customers"
スーパー女将の特大モツ煮野郎メシ凄い,Super proprietress's oversized ofal stew guy’s food is awesome
スマートテレビ向けアプリに提供開始した,Now available for smart TV apps
新着コンテンツを把握しやすくするアップデート,Updates to make it easier to keep track of new content
濃厚なチーズを入れた,Filled with rich cheese
環境音がクリアなため,For clear environmental sound
サブ機として便利なアイテムですよ,This item is useful as a sub-machine
上記のようなシーン,Scenes like the ones above
クラウドなどの技術進歩により,With technological advances such as cloud computing
ユーザは指示ボタンをクリックするだけで,The user simply clicks an instruction button
症例と文献の解析結果を取得できる,Obtain case and reference analysis results
価格は発表されておらず,No price has been announced
非常に気になるところだ,I'm very curious about this
可能性を検出する,Detecting possibilities
注意を促すだけでなく,Not only does it call for attention
確立された動作パターンから逸脱した,Deviation from established operating patterns
