Words,Reading,Meaning,Sentences
男の子,おとこのこ,boy,この男の子は有機野菜を収穫しています。
好き,すき,liking,子供の頃からスポーツ好き。
医者,いしゃ,doctor,彼女のお父さんは有名な医者です。
年,とし,year,彼女は年とともに美しくなってきた。
レストラン,レストラン,restaurant,レストランのメインはもちろん肉。
山,やま,mountain,山の向こうに村がある。
向こう,むこう,opposite side,橋の向こうに小屋がある。
九日,ここのか,the ninth day of the month,八月一九日の報道によると。
聞く,きく,to hear,趣味は物語を聞く事。
なる,なる,to become,そうなるともっとレパートリーが面白くなる。
鳴く,なく,"to sing, to chirp",
低い,ひくい,low,
買う,かう,to buy,
九つ,ここのつ,nine,
売る,うる,to sell,
金曜日,きんようび,Friday,
危ない,あぶない,dangerous,
体,からだ,body,
銀行,ぎんこう,bank,
よく,よく,nicely,
よい,よい,good,
ください,ください,please give me,
降る,ふる,to precipitate,
明るい,あかるい,bright,
下,した,below,
次,つぎ,next,
建物,たてもの,building,
はがき,はがき,postcard,
いる,いる,to need,
時計,とけい,watch,
ニュース,ニュース,news,
財布,さいふ,purse,
西,にし,west,
どの,どの,which,
大切,たいせつ,important,
会社,かいしゃ,company,
嫌い,きらい,dislike,
春,はる,spring,
箱,はこ,box,
洋服,ようふく,western-style clothes,
勉強,べんきょう,study,
写真,しゃしん,photograph,
大人,おとな,adult,
大丈夫,だいじょうぶ,safe,
声,こえ,voice,
あなた,あなた,you,
起きる,おきる,to get up,
便利,べんり,convenient,
大勢,おおぜい,many,
乗る,のる,to get on,
会う,あう,to meet,
六,ろく,six,
六つ,むっつ,six,
ポスト,ポスト,post,
ある,ある,to be,
立派,りっぱ,splendid,
返す,かえす,to return,
辺,へん,area,
熱い,あつい,hot (thing),
汚い,きたない,dirty,
朝,あさ,morning,
狭い,せまい,narrow,
重い,おもい,heavy,
万年筆,まんねんひつ,fountain pen,
猫,ねこ,cat,
レコード,レコード,record,
橋,はし,bridge,
グラム,グラム,gram,
鉛筆,えんぴつ,pencil,
教室,きょうしつ,classroom,
縦,たて,the vertical,
傘,かさ,umbrella,
