Sentences,Translation
戦闘とは、敵との間で武力を用いて争うことです。闘志とは、戦闘や競争などで勝とうとする強い意志です。乱闘とは、多くの人が暴力的に争うことです。,Combat is the act of fighting with enemies using force. Fighting spirit is the strong will to win in combat or competition. Brawl is the act of many people fighting violently.
精神とは、思考や感情などの心の働きのことです。精通とは、ある分野や技術に深く通じていることです。精製とは、原料から不純物を取り除いて純度を高めることです。,Spirit is the mental activity such as thinking or feeling. Proficiency is the state of being well-versed in a certain field or skill. Refining is the process of removing impurities from raw materials and increasing purity.
規則とは、社会や組織などで定められた行動の基準や制限です。原則とは、物事の根本的な理論や方針です。法則とは、自然界や社会現象などで一定の関係や規則性を示すものです。,Rule is the standard or limitation of behavior established by society or organization. Principle is the fundamental theory or policy of things. Law is the thing that shows a certain relationship or regularity in nature or social phenomena.
葬式とは、死者を送る儀式です。葬るとは、死者の遺体や遺骨を埋めることです。火葬とは、死者の遺体を火で焼くことです。,Funeral is the ceremony to send off the dead. Bury is the act of burying the corpse or ashes of the dead. Cremation is the act of burning the corpse of the dead.
乱暴とは、暴力的で荒っぽい態度や行為です。乱すとは、秩序や平穏を崩すことです。乱用とは、正しい目的や方法とは違って使うことです。,Violence is the attitude or behavior that is violent and rough. Disturb is the act of breaking the order or peace. Abuse is the act of using something differently from the correct purpose or method.
避難とは、災害や危険から安全な場所に移ることです。避けるとは、ぶつからないようにすることや、関わらないようにすることです。退避とは、敵や攻撃から身を守るために後ろに下がることです。,Evacuation is the act of moving to a safe place from disaster or danger. Avoid is the act of preventing collision or involvement. Retreat is the act of backing away to protect oneself from enemy or attack.
普通とは、一般的な状態や水準のことです。普段とは、日常的に行われることや、いつものことです。普及とは、あるものや考えが広く人々に知られるようになることです。,Normal is the general state or level of something. Usual is the thing that is done daily or always. Diffusion is the act of making something or idea widely known to people.
拡散とは、ある物質が空間に広がることです。散るとは、ばらばらになって飛んだり落ちたりすることです。解散とは、集まっていた人や組織が離れることです。,Diffusion is the act of a substance spreading in space. Scatter is the act of becoming scattered and flying or falling. Dissolution is the act of people or organizations separating.
司会とは、会議や式典などで進行や話題をつなぐ役割をする人やことです。司るとは、物事を管理や統制することです。上司とは、職場や組織で自分よりも高い地位や権限を持つ人です。,Moderator is the person or thing that plays the role of connecting the progress or topic in meetings or ceremonies. Govern is the act of managing or controlling things. Boss is the person who has a higher position or authority than oneself in the workplace or organization.
健康とは、体や心が正常に働いている状態のことです。健康的とは、健康に良いとされるような様子や方法のことです。小康とは、病気や苦労がなく、平穏に暮らすことです。,Health is the state of the body and mind working normally. Healthy is the appearance or method that is considered to be good for health. Well-being is the act of living peacefully without illness or hardship.
測定とは、ある物理量や現象の大きさや値を求めることです。観測とは、目や器具などで自然現象や物事を見たり聞いたりすることです。予測とは、現在の状況やデータから将来の事態や結果を推測することです。,Measurement is the act of finding the size or value of a physical quantity or phenomenon. Observation is the act of seeing or hearing natural phenomena or things with eyes or instruments. Prediction is the act of estimating the future situation or result from the current situation or data.
豊富とは、あるものや資源がたくさんあることです。豊かとは、物質的や精神的に満足や幸せを感じることです。豊作とは、農作物がよくできることです。 ,Abundant is the state of having a lot of something or resources. Rich is the state of feeling satisfaction or happiness materially or mentally. Bumper crop is the state of crops growing well.
